"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Matt Barnes",4000,"Atl@Bos 07:10PM ET",3.944,"Bos"
"SP","Jesse Biddle",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"RP","Heath Hembree",4000,"Atl@Bos 07:10PM ET",13.417,"Bos"
"RP","Adam Liberatore",4000,"Mia@LAD 10:10PM ET",3.121,"LAD"
"RP","Keith Hessler",4000,"StL@Ari 09:40PM ET",4.700,"Ari"
"RP","Dan Winkler",4000,"Atl@Bos 07:10PM ET",4.217,"Atl"
"RP","Frankie Montas",4000,"Mia@LAD 10:10PM ET",0,"LAD"
"RP","Andrew McKirahan",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"RP","Andrew Chafin",4000,"StL@Ari 09:40PM ET",2.496,"Ari"
"RP","Carter Capps",4000,"Mia@LAD 10:10PM ET",0,"Mia"
"RP","Carson Smith",4000,"Atl@Bos 07:10PM ET",0,"Bos"
"RP","Kyle Barraclough",4000,"Mia@LAD 10:10PM ET",4.821,"Mia"
"RP","Dominic Leone",4000,"StL@Ari 09:40PM ET",0.200,"Ari"
"RP","Nick Wittgren",4000,"Mia@LAD 10:10PM ET",1.350,"Mia"
"RP","Matt Bowman",4000,"StL@Ari 09:40PM ET",2.881,"StL"
"RP","Shae Simmons",4000,"Atl@Bos 07:10PM ET",0,"Atl"
"SP","Julio Urias",4000,"Mia@LAD 10:10PM ET",0,"LAD"
"SP","Braden Shipley",4000,"StL@Ari 09:40PM ET",0,"Ari"
"RP","Cody Ege",4000,"Mia@LAD 10:10PM ET",0.600,"Mia"
"OF","Melky Cabrera",3900,"CWS@Bal 07:05PM ET",6.955,"CWS"
"OF","Randal Grichuk",3900,"StL@Ari 09:40PM ET",7.800,"StL"
"OF","Yasiel Puig",3900,"Mia@LAD 10:10PM ET",7.273,"LAD"
"1B","Adrian Gonzalez",3800,"Mia@LAD 10:10PM ET",8.045,"LAD"
"1B/OF","Matt Holliday",3800,"StL@Ari 09:40PM ET",7.250,"StL"
"OF","Nick Markakis",3800,"Atl@Bos 07:10PM ET",7.762,"Atl"
"2B","Jean Segura",3800,"StL@Ari 09:40PM ET",10.273,"Ari"
"OF","Ender Inciarte",3800,"Atl@Bos 07:10PM ET",3.333,"Atl"
"OF","Joc Pederson",3800,"Mia@LAD 10:10PM ET",7.048,"LAD"
